6	5	0.0518
6	6	0.19
6	7	0.2932
6	8	0.3723
7	1	0.002
7	2	0.0155
7	3	0.0945
7	4	0.1661
7	5	0.116
7	6	0.2656
7	7	0.2317
7	8	0.1086
8	1	0.0029
8	2	0.013
8	3	0.0652
8	4	0.1196
8	5	0.0838
8	6	0.2127
8	7	0.2408
8	8	0.262
9	1	0.004
9	2	0.0157
9	3	0.0749
9	4	0.1267
9	5	0.0915
9	6	0.2353
9	7	0.251
9	8	0.2009
10	1	0.004
10	2	0.0107
10	3	0.0604
10	4	0.1123
10	5	0.0784
10	6	0.2092
10	7	0.2491
10	8	0.2759
;

table LG_parameters(LG_PROP,LG_IN) :
LG_PROP LG_IN LG_parameters := 
1	1	4.3
1	2	4.28
1	3	4.36
1	4	4.21
1	5	4.22
2	1	93.0
2	2	92.5
2	3	93.6
2	4	92.7
2	5	93.9
3	1	90.0
3	2	89.6
3	3	90.9
3	4	89.0
3	5	90.2
;

param Isomerisation_fraction :=
1	0.03
2	0.97
3	0.04
4	6.0
;

param Desulphurisation_fraction2 :=
1	0.96
2	0.04
3	0.02
4	20.0
;

param Crude_density :=
1	0.8441
2	0.891
3	0.8441
4	0.8369
5	0.8829
6	0.9315
7	0.8252
8	0.8745
9	0.857
10	0.8817
;

param Sulphur_GO_nominal :=
1	0.157
2	0.293
3	0.162
4	0.2
5	0.263
6	0.694
7	0.767
8	1.55
9	0.326
10	1.09
;

param Crude_price :=
1	115.0
2	107.5
3	109.7
4	110.7
5	108.4
6	101.6
7	114.3
8	101.3
9	109.4
10	104.09
;

param Demand_quantity :=
1	5.0
2	0.0
3	0.0
4	100.0
5	100.0
6	0.0
7	0.0
;

param Density_PG98_input :=
1	0.58
2	0.665
3	0.65
4	0.77
5	0.8
6	0.75
;

param Density_products :=
1	0.79
2	0.76
3	0.75
4	0.87
5	0.98
6	0.54
7	0.65
;

param Product_VP :=
1	0.65
2	0.65
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
;

param Product_RON :=
1	105.0
2	100.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
;

param Product_MON :=
1	100.0
2	96.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
;

param Product_Sulphur :=
1	0.0
2	0.0
3	0.001
4	0.0
5	0.0
6	0.0
7	0.0
;

param Import_upper :=
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
;

param RON :=
1	0.0
2	91.0
3	71.0
4	95.0
5	100.0
6	93.0
;

param MON :=
1	0.0
2	86.0
3	68.0
4	86.0
5	91.0
6	82.0
;

param VP :=
1	0.0
2	0.4
3	0.8
4	0.5
5	0.5
6	0.65
;

param HFO_density :=
1	0.9385
2	0.9682
3	0.9423
4	0.9433
5	0.9652
6	0.9727
7	0.947
8	0.9799
9	0.9562
10	0.9685
;

param GO_density :=
1	0.8506
2	0.859
3	0.8413
4	0.845
5	0.8573
6	0.8688
7	0.8404
8	0.8467
9	0.8477
10	0.8558
;

param Viscosity_HF1 :=
1	32.5
2	69.6
3	38.2
4	42.7
5	86.5
6	75.5
7	42.3
8	45.0
9	53.5
10	55.2
;

param Viscosity_HF3 :=
1	2.52
2	2.92
3	2.61
4	2.56
5	2.65
6	2.95
7	2.5
8	2.51
9	2.62
10	2.67
;

param Viscosity_products :=
4	31.5
5	0
;

param Sulphur_3 :=
1	0.1
;

table Sulphur_GO_data(C,S) :
C S Sulphur_GO_data := 
1	1	0.142088513077039
2	1	0.310719599235616
3	1	0.16652807856732
4	1	0.212905808207417
5	1	0.266482491043895
6	1	0.76172978360867
7	1	0.634362056891616
8	1	1.576735109424405
9	1	0.291490315101932
10	1	1.089348038245218
1	2	0.141118541282429
2	2	0.281477552818021
3	2	0.16741440642963
4	2	0.184276995676455
5	2	0.263494796995319
6	2	0.692304963412679
7	2	0.773320932383037
8	2	1.309305562100601
9	2	0.306919506227801
10	2	1.151557551730689
1	3	0.187121509799093
2	3	0.306887871469947
3	3	0.147750555914438
4	3	0.216077618904068
5	3	0.253660826161628
6	3	0.685002013445849
7	3	0.68715697126829
8	3	1.538931836234552
9	3	0.324073104940641
10	3	1.100321154941514
1	4	0.138170604978298
2	4	0.324808881357782
3	4	0.132956277603478
4	4	0.194502792675285
5	4	0.228934729989087
6	4	0.745981922602771
7	4	0.930200382982935
8	4	1.766616103121546
9	4	0.333366587927294
10	4	1.15534426699118
1	5	0.160119037177764
2	5	0.237070843250389
3	5	0.179241534916566
4	5	0.198547381282052
5	5	0.274516556420276
6	5	0.631873427540527
7	5	0.806307527204965
8	5	1.625188062179657
9	5	0.369783597954369
10	5	1.144253677136521
;

table VaccuumResidue_data(C,S) :
C S VaccuumResidue_data := 
1	1	0.098476746897009
2	1	0.254841406932241
3	1	0.173170328760428
4	1	0.141239119577067
5	1	0.255427719783213
6	1	0.44104440064998
7	1	0.112523799680884
8	1	0.276969737693296
9	1	0.189320400668474
10	1	0.22611605358976
1	2	0.117914428890899
2	2	0.275227182331483
3	2	0.236554126564275
4	2	0.124496284282309
5	2	0.253628478519632
6	2	0.414977511926427
7	2	0.096313256035774
8	2	0.289686439323075
9	2	0.205015116160727
10	2	0.264009751721092
1	3	0.094777581750325
2	3	0.295376717751326
3	3	0.177664240429431
4	3	0.131236523229636
5	3	0.228221555314528
6	3	0.349226110581922
7	3	0.103454097062942
8	3	0.205819359076627
9	3	0.177501118103415
10	3	0.280661872199777
1	4	0.092419309390921
2	4	0.272437946676044
3	4	0.22195166871298
4	4	0.111483940457563
5	4	0.242592773579144
6	4	0.341326361986696
7	4	0.1241697102559
8	4	0.287409969852358
9	4	0.206129072970268
10	4	0.24555463755195
1	5	0.118213633855153
2	5	0.29955197236278
3	5	0.220937083136309
4	5	0.144708783532668
5	5	0.237201293280314
6	5	0.376551360490621
7	5	0.104329719484758
8	5	0.25620529449009
9	5	0.193152661395673
10	5	0.273551035003146
;
